file,line,kind,text,suggestedNamespace
"app/about/page.tsx","220","attr","Coach-led training, enhanced by smart tooling","common"
"app/about/page.tsx","50","jsx","([]); const [copiedField, setCopiedField] = useState","common"
"app/about/page.tsx","201","jsx","About Chalet Coaching","common"
"app/about/page.tsx","202","jsx","Coach-led training plans with an optional Instant AI flow. Clear, structured, and built for real progress.","common"
"app/about/page.tsx","207","jsx","Meet our coaches","common"
"app/about/page.tsx","210","jsx","How it works","common"
"app/about/page.tsx","237","jsx","Coach-first platform","common"
"app/about/page.tsx","238","jsx","Add /public/about_hero.webp to replace this visual.","common"
"app/about/page.tsx","255","jsx","What we do","common"
"app/about/page.tsx","273","jsx","Coach-first plans","common"
"app/about/page.tsx","275","jsx","Choose a coach and submit your training request.","common"
"app/about/page.tsx","297","jsx","Instant AI option","common"
"app/about/page.tsx","299","jsx","Generate a plan in minutes when you need speed.","common"
"app/about/page.tsx","321","jsx","Tokens power everything","common"
"app/about/page.tsx","323","jsx","One balance you can use across both flows.","common"
"app/about/page.tsx","341","jsx","How the platform works","common"
"app/about/page.tsx","347","jsx","Coach-built requests","common"
"app/about/page.tsx","352","jsx","Pick a coach","common"
"app/about/page.tsx","356","jsx","Send your request","common"
"app/about/page.tsx","360","jsx","Receive and track your plan in your dashboard","common"
"app/about/page.tsx","364","jsx","Explore coaches","common"
"app/about/page.tsx","372","jsx","Instant AI generator","common"
"app/about/page.tsx","377","jsx","Choose inputs","common"
"app/about/page.tsx","381","jsx","Preview","common"
"app/about/page.tsx","385","jsx","Publish and download","common"
"app/about/page.tsx","389","jsx","Try the AI generator","common"
"app/about/page.tsx","405","jsx","Our principles","common"
"app/about/page.tsx","418","jsx","Clarity over hype","common"
"app/about/page.tsx","420","jsx","We focus on clear, actionable guidance instead of marketing fluff.","common"
"app/about/page.tsx","437","jsx","Safety first","common"
"app/about/page.tsx","439","jsx","Training guidance is informational and should be used responsibly.","common"
"app/about/page.tsx","456","jsx","Coach-led accountability","common"
"app/about/page.tsx","458","jsx","Coaches provide personalized guidance and help you stay on track.","common"
"app/about/page.tsx","475","jsx","Respect for your time","common"
"app/about/page.tsx","477","jsx","We value efficiency and deliver plans that fit your schedule.","common"
"app/about/page.tsx","497","jsx","Trust and safety","common"
"app/about/page.tsx","498","jsx","Training guidance is informational and should be used responsibly. If you have a condition or injury, consult a qualified professional.","common"
"app/about/page.tsx","502","jsx","Read trust and safety","common"
"app/about/page.tsx","518","jsx","Company details","common"
"app/about/page.tsx","536","jsx",") : ( detail.value )}","common"
"app/about/page.tsx","570","jsx","Get started today","common"
"app/about/page.tsx","573","jsx","Meet our coaches","common"
"app/about/page.tsx","576","jsx","See pricing","common"
"app/account/AccountClient.tsx","252","attr","John","common"
"app/account/AccountClient.tsx","269","attr","Doe","common"
"app/account/AccountClient.tsx","289","attr","you@example.com","common"
"app/account/AccountClient.tsx","345","attr","Street address","common"
"app/account/AccountClient.tsx","356","attr","City","common"
"app/account/AccountClient.tsx","365","attr","Postal code","common"
"app/account/AccountClient.tsx","443","attr","Enter current password","common"
"app/account/AccountClient.tsx","461","attr","At least 6 characters","common"
"app/account/AccountClient.tsx","480","attr","Re-enter new password","common"
"app/account/AccountClient.tsx","37","jsx","(null); const [profileLoading, setProfileLoading] = useState(true); const [profileSaving, setProfileSaving] = useState(false); const [profileSuccess, setProfileSuccess] = useState(false); const [profileError, setProfileError] = useState","common"
"app/account/AccountClient.tsx","41","jsx","(null); // Editable fields const [firstName, setFirstName] = useState(""""); const [lastName, setLastName] = useState(""""); const [email, setEmail] = useState(""""); const [phone, setPhone] = useState(""""); const [dateOfBirth, setDateOfBirth] = useState(""""); const [street, setStreet] = useState(""""); const [city, setCity] = useState(""""); const [country, setCountry] = useState(""""); const [postalCode, setPostalCode] = useState(""""); // Password change state const [currentPassword, setCurrentPassword] = useState(""""); const [newPassword, setNewPassword] = useState(""""); const [confirmNewPassword, setConfirmNewPassword] = useState(""""); const [passwordSaving, setPasswordSaving] = useState(false); const [passwordSuccess, setPasswordSuccess] = useState(false); const [passwordError, setPasswordError] = useState","common"
"app/account/AccountClient.tsx","217","jsx","Account Settings","common"
"app/account/AccountClient.tsx","223","jsx","Loading profile...","common"
"app/account/AccountClient.tsx","233","jsx","Personal Information","common"
"app/account/AccountClient.tsx","243","jsx","First name","common"
"app/account/AccountClient.tsx","260","jsx","Last name","common"
"app/account/AccountClient.tsx","280","jsx","Email","common"
"app/account/AccountClient.tsx","299","jsx","Phone number","common"
"app/account/AccountClient.tsx","318","jsx","Date of birth","common"
"app/account/AccountClient.tsx","335","jsx","Address","common"
"app/account/AccountClient.tsx","379","jsx","Select country","common"
"app/account/AccountClient.tsx","404","jsx","Profile updated successfully.","common"
"app/account/AccountClient.tsx","414","jsx","Save changes","common"
"app/account/AccountClient.tsx","426","jsx","Change Password","common"
"app/account/AccountClient.tsx","434","jsx","Current password","common"
"app/account/AccountClient.tsx","452","jsx","New password","common"
"app/account/AccountClient.tsx","471","jsx","Confirm new password","common"
"app/account/AccountClient.tsx","501","jsx","Password changed successfully.","common"
"app/account/AccountClient.tsx","516","jsx","Change password","common"
"app/api/auth/reset/request/route.ts","66","jsx","You requested to reset your password.","auth"
"app/api/auth/reset/request/route.ts","67","jsx","Click the link below to set a new password:","auth"
"app/api/auth/reset/request/route.ts","70","jsx","If you didn't request this, you can safely ignore this email.","auth"
"app/api/bookings/route.ts","77","jsx","newStart. // // Since Prisma can't do computed columns, we use a worst-case approach: // - Find all confirmed bookings for this coach where: // existing.date","common"
"app/api/contact/route.ts","32","jsx","now - ts","common"
"app/api/contact/route.ts","42","jsx","now - timestamp","common"
"app/api/contact/route.ts","120","jsx","New contact form submission","common"
"app/api/contact/route.ts","121","jsx","Name:","common"
"app/api/contact/route.ts","122","jsx","Email:","common"
"app/api/contact/route.ts","123","jsx","Topic:","common"
"app/api/contact/route.ts","124","jsx","Message:","common"
"app/api/courses/generate-pdf-dev/route.ts","70","jsx","Personalized fitness program generated by AI","common"
"app/api/courses/generate-pdf-dev/route.ts","74","jsx","Program Details","common"
"app/api/courses/generate-pdf-dev/route.ts","76","jsx","Created:","common"
"app/api/courses/generate-pdf-dev/route.ts","80","jsx","Tokens spent:","common"
"app/api/courses/regenerate-day/route.ts","86","jsx","for the day title -","common"
"app/api/courses/regenerate-day/route.ts","87","jsx","for subsections (Warm-Up, Main Workout, Cool-Down) -","common"
"app/api/courses/regenerate-day/route.ts","88","jsx","for important text -","common"
"app/api/courses/regenerate-day/route.ts","89","jsx","and","common"
"app/api/courses/regenerate-day/route.ts","89","jsx","for lists -","common"
"app/api/courses/regenerate-day/route.ts","90","jsx","with","common"
"app/api/courses/regenerate-day/route.ts","90","jsx","for exercise tables -","common"
"app/api/courses/regenerate-day/route.ts","91","jsx","for important tips -","common"
"app/api/courses/regenerate-day/route.ts","92","jsx","for paragraphs Generate ONLY the content for this specific day:","common"
"app/api/courses/regenerate-day/route.ts","98","jsx","Warm-Up (10 minutes)","common"
"app/api/courses/regenerate-day/route.ts","100","jsx","Dynamic Stretching exercises","common"
"app/api/courses/regenerate-day/route.ts","101","jsx","Light Cardio","common"
"app/api/courses/regenerate-day/route.ts","104","jsx","Main Workout (45 minutes)","common"
"app/api/courses/regenerate-day/route.ts","106","jsx","Exercise","common"
"app/api/courses/regenerate-day/route.ts","106","jsx","Sets","common"
"app/api/courses/regenerate-day/route.ts","106","jsx","Reps","common"
"app/api/courses/regenerate-day/route.ts","106","jsx","Rest","common"
"app/api/courses/regenerate-day/route.ts","107","jsx","Exercise name","common"
"app/api/courses/regenerate-day/route.ts","107","jsx","60s","common"
"app/api/courses/regenerate-day/route.ts","110","jsx","Cool-Down (10 minutes)","common"
"app/api/courses/regenerate-day/route.ts","112","jsx","Static Stretching","common"
"app/api/courses/regenerate-day/route.ts","113","jsx","Deep Breathing","common"
"app/api/feedback/route.ts","29","jsx","Email:","common"
"app/auth/reset-password/ResetPasswordClient.tsx","26","jsx","(null); const [success, setSuccess] = useState(false); const [devResetLink, setDevResetLink] = useState","auth"
"app/auth/reset-password/ResetPasswordClient.tsx","218","jsx",") : null}","auth"
"app/auth/reset-password/ResetPasswordClient.tsx","302","jsx",") : null}","auth"
"app/auth/reset-password/ResetPasswordClient.tsx","305","jsx",") : null}","auth"
"app/auth/sign-in/SignInClient.tsx","132","jsx",") : null}","auth"
"app/auth/sign-up/SignUpClient.tsx","361","jsx",") : null}","auth"
"app/auth/sign-up/SignUpClient.tsx","364","jsx",") : null}","auth"
"app/become-a-coach/page.tsx","22","jsx","Become a Coach","common"
"app/become-a-coach/page.tsx","23","jsx","Join our platform and help users achieve their fitness goals with structured, coach-led courses enhanced by AI support.","common"
"app/become-a-coach/page.tsx","29","jsx","What We Offer","common"
"app/become-a-coach/page.tsx","33","jsx","Platform to showcase your expertise and build your coaching brand","common"
"app/become-a-coach/page.tsx","37","jsx","AI tools to streamline course creation and delivery","common"
"app/become-a-coach/page.tsx","41","jsx","Token-based compensation model","common"
"app/become-a-coach/page.tsx","45","jsx","Support for various training specializations","common"
"app/become-a-coach/page.tsx","51","jsx","Requirements","common"
